eyelib-test-fixation,2019-10-02T16:39:26
timestamp (ms),epoch (ms),target duration (ms),,,DT points,DT dmax,VT dmax
21278232,1570048766898,750,750,0,4,30,7
eye tracker,,target,,,raw gaze,,smoothed gaze,,fixation detection,,,,,fixation on object (ET)
timestamp (ms),tracking,x,y,active,x,y,x,y,ET,DT,dispersion,VT,displacement,target ID,fixation point error,count of fixations,sum duration (ms),average duration (ms),interval (ms)
238224104,true,0,0,false,466.789,488.023,479.8,540.972,false,false,31.6743,true,3.94864,
238224121,true,0,0,false,458.055,526.789,479.468,532.979,false,false,0,false,7.9998,
238224137,true,0,0,false,476.699,546.172,480.393,534.964,false,false,0,true,2.19077,
238224154,true,0,0,false,413.018,567.768,477.977,542.201,false,true,11.6382,false,7.62902,
238224170,true,0,0,false,247.818,647.414,468.4,551.366,false,false,30.3812,false,13.2565,
238224187,true,0,0,false,108.19,724.337,453.647,562.566,false,false,0,false,18.5227,
238224204,true,0,0,false,94.9009,720.692,437.077,574.174,false,false,0,false,20.2309,
238224221,true,0,0,false,96.9909,716.698,262.46,691.61,false,false,346.184,false,210.434,
238224237,true,0,0,false,71.1668,714.434,136.678,684.222,false,false,446.013,false,125.999,
238224254,true,0,0,false,67.2802,734.963,143.139,692.417,false,false,418.642,false,10.436,
238224270,true,0,0,false,88.9008,741,141.969,697.528,false,false,139.088,true,5.24319,
238224287,true,0,0,false,82.164,732.048,138.528,700.758,false,true,22.9976,true,4.71976,
238224304,true,0,0,false,81.8332,717.682,136.533,703.287,false,true,25.6722,true,3.22141,
238224320,true,0,0,false,96.8174,742.249,122.95,701.208,false,false,39.2547,false,13.7408,
238224337,true,0,0,false,73.8159,713.974,121.299,710.485,false,false,0,false,9.42365,
238224354,true,0,0,false,64.9746,718.868,116.812,713.407,false,false,0,true,5.35469,
238224370,true,0,0,false,75.5195,716.065,111.363,713.569,false,true,23.948,true,5.4508,
238224387,true,0,0,false,76.059,726.126,107.646,714.666,false,true,28.7633,true,3.8762,
238224405,true,0,0,false,81.9647,725.592,104.539,715.597,false,false,32.8004,true,3.24303,
238224424,true,0,0,false,66.0345,734.173,81.6914,728.154,false,false,0,false,26.071,
238224438,true,0,0,false,191.03,685.56,81.9647,724.553,false,false,0,true,3.61167,
238224454,true,0,0,false,379.759,600.652,82.6833,724.553,false,false,35.4048,true,0.718597,
238224470,true,0,0,false,513.163,537.374,220.355,652.851,false,false,213.966,false,155.224,
238224487,true,0,0,false,541.371,524.858,294.335,615.754,false,false,321.169,false,82.7604,
238224503,true,0,0,false,553.446,543.748,341.08,592.246,false,false,390.703,false,52.3229,
238224520,true,0,0,false,543.738,534.639,372.918,575.342,false,false,230.072,false,36.0473,
238224537,true,0,0,false,543.302,522.99,398.598,567.047,false,false,152.969,false,26.9863,
