eyelib-datalog,2016-10-10T16:31:12
time_sync_ms,timestamp,time_ms,tracking.bits,tracking.gaze,tracking.eyes,tracking.user,tracking.fail,tracking.lost,fixation,raw_px.x,raw_px.y,avg_px.x,avg_px.y,pupil_left.center.x,pupil_left.center.y,pupil_left.size,pupil_right.center.x,pupil_right.center.y,pupil_right.size
28665875,2016-10-10 16:31:14.461,810208285,0x07,true,true,true,false,false,true,1080.69,431.731,1075.19,460.859,0.4415,0.476,19.6647,0.5692,0.468,22.2801
28665906,2016-10-10 16:31:14.495,810208319,0x07,true,true,true,false,false,true,1107.02,507.733,1074.93,462.312,0.4414,0.4764,21.1893,0.5692,0.4684,22.5959
28665937,2016-10-10 16:31:14.528,810208352,0x07,true,true,true,false,false,true,1086.7,474.077,1075.77,463.606,0.4412,0.4763,20.3427,0.5692,0.4684,22.3197
28665969,2016-10-10 16:31:14.561,810208385,0x07,true,true,true,false,false,true,1109.51,500.578,1075.62,465.287,0.4412,0.4762,20.3791,0.569,0.4688,22.6803
28666000,2016-10-10 16:31:14.594,810208418,0x07,true,true,true,false,false,true,1086.2,500.579,1072.24,467.987,0.4412,0.4766,20.715,0.5688,0.4682,21.8891
28666031,2016-10-10 16:31:14.628,810208452,0x07,true,true,true,false,false,true,1097.22,486.438,1072.9,469.336,0.4411,0.4765,20.4417,0.5688,0.4683,22.5133
28666062,2016-10-10 16:31:14.661,810208485,0x07,true,true,true,false,false,true,1137.71,526.881,1078.98,469.169,0.4411,0.4765,20.517,0.569,0.4686,22.4632
28666109,2016-10-10 16:31:14.694,810208518,0x07,true,true,true,false,false,true,1141.97,501.593,1080.04,471.591,0.4412,0.4765,19.6082,0.5691,0.4685,22.2042
28666140,2016-10-10 16:31:14.728,810208552,0x07,true,true,true,false,false,true,1102.99,479.802,1079.73,473.203,0.4412,0.4763,20.1766,0.5691,0.4686,23.2012
28666171,2016-10-10 16:31:14.761,810208585,0x07,true,true,true,false,false,true,1108.76,457.057,1079.66,474.541,0.4414,0.4765,20.3647,0.5691,0.4686,22.8086
28666203,2016-10-10 16:31:14.794,810208618,0x07,true,true,true,false,false,true,1098.75,531.311,1080.1,476.051,0.4415,0.4768,20.3858,0.5691,0.4688,23.0411
28666234,2016-10-10 16:31:14.828,810208652,0x07,true,true,true,false,false,true,1078.35,480.999,1081.36,477.251,0.4416,0.4764,20.2144,0.5691,0.4689,22.7269
28666265,2016-10-10 16:31:14.861,810208685,0x07,true,true,true,false,false,true,1084.47,440.178,1078.93,479.534,0.4416,0.4762,19.5576,0.5693,0.4686,22.8763
28666296,2016-10-10 16:31:14.894,810208718,0x07,true,true,true,false,false,true,1123.03,453.302,1080.75,479.635,0.4417,0.4764,19.8784,0.5697,0.4685,22.7748
28666327,2016-10-10 16:31:14.928,810208752,0x07,true,true,true,false,false,true,1132.45,467.219,1081.87,480.132,0.4419,0.476,20.0727,0.5698,0.4687,23.2973
28666374,2016-10-10 16:31:14.961,810208785,0x07,true,true,true,false,false,true,1118.26,416.408,1084.66,479.873,0.4418,0.4762,20.3107,0.5699,0.4685,22.7654
28666405,2016-10-10 16:31:14.994,810208818,0x07,true,true,true,false,false,true,1208.94,429.009,1082.91,481.686,0.4425,0.4761,19.893,0.5703,0.4685,22.596
28666437,2016-10-10 16:31:15.027,810208851,0x07,true,true,true,false,false,true,1151.5,489.261,1086.62,480.936,0.4421,0.4765,19.9345,0.57,0.4687,22.7364
28666468,2016-10-10 16:31:15.061,810208885,0x07,true,true,true,false,false,true,1191.31,478.708,1093.21,478.535,0.442,0.4764,19.9984,0.5698,0.4689,23.1693
28666499,2016-10-10 16:31:15.094,810208918,0x07,true,true,true,false,false,true,1184.89,447.766,1096.12,478.232,0.442,0.4768,20.2925,0.5698,0.4682,22.8908
28666530,2016-10-10 16:31:15.127,810208951,0x07,true,true,true,false,false,true,1226.61,488.668,1094.8,480.061,0.4422,0.4767,20.7806,0.5698,0.4687,23.0937
28666561,2016-10-10 16:31:15.161,810208985,0x07,true,true,true,false,false,true,1204.57,539.487,1093.19,482.267,0.4422,0.4767,20.6701,0.5698,0.4688,23.1782
28666608,2016-10-10 16:31:15.194,810209018,0x07,true,true,true,false,false,true,1231.58,416.156,1092.09,484.316,0.4423,0.476,19.4831,0.5701,0.4685,23.046
28666639,2016-10-10 16:31:15.227,810209051,0x07,true,true,true,false,false,true,1284.34,539.872,1100.35,481.617,0.4423,0.4768,20.315,0.5705,0.469,25.2907
28666671,2016-10-10 16:31:15.261,810209085,0x07,true,true,true,false,false,true,1172.09,478.336,1104.05,481.944,0.4425,0.4766,20.5125,0.5702,0.4683,23.4241
28666702,2016-10-10 16:31:15.294,810209118,0x07,true,true,true,false,false,true,1141.46,461.859,1105.65,482.685,0.4429,0.4756,20.9702,0.5707,0.4675,23.1076
28666733,2016-10-10 16:31:15.327,810209151,0x07,true,true,true,false,false,true,1137.29,492.065,1107.83,483.265,0.4432,0.4748,20.5926,0.5709,0.467,24.1222
28666764,2016-10-10 16:31:15.360,810209184,0x07,true,true,true,false,false,true,1181.51,465.234,1110.54,483.503,0.4429,0.4741,20.9217,0.571,0.4661,24.2708
28666795,2016-10-10 16:31:15.394,810209218,0x07,true,true,true,false,false,true,1111.45,446.226,1112.79,483.239,0.4426,0.4734,20.4905,0.5701,0.4656,23.4924
28666827,2016-10-10 16:31:15.427,810209251,0x07,true,true,true,false,false,true,1130.18,509.547,1115.83,482.966,0.441,0.474,22.2547,0.5688,0.4658,23.5927
28666873,2016-10-10 16:31:15.460,810209284,0x07,true,true,true,false,false,true,1154.27,508.924,1118.17,483.147,0.4391,0.4747,22.7569,0.5673,0.4661,22.9705
28666905,2016-10-10 16:31:15.494,810209318,0x07,true,true,true,false,false,true,1052.78,521.929,1118.59,483.889,0.4377,0.4763,22.021,0.5655,0.4666,23.3636
28666936,2016-10-10 16:31:15.527,810209351,0x07,true,true,true,false,false,true,1156.81,486.673,1120,484.319,0.4369,0.477,21.6819,0.565,0.4669,22.4394
28666967,2016-10-10 16:31:15.560,810209384,0x07,true,true,true,false,false,true,1097.84,562.236,1121.14,485.207,0.4366,0.4766,21.0105,0.5644,0.4669,23.1497
28666998,2016-10-10 16:31:15.593,810209417,0x07,true,true,true,false,false,true,1189.36,470.948,1125.17,484.399,0.4366,0.4764,20.721,0.5644,0.4666,22.8397
28667029,2016-10-10 16:31:15.626,810209450,0x07,true,true,true,false,false,true,969.745,476.472,1129.67,483.889,0.4356,0.4765,21.0973,0.5634,0.4663,22.532
28667061,2016-10-10 16:31:15.660,810209484,0x07,true,true,true,false,false,true,1026.32,507.385,1124.4,485.316,0.436,0.4771,21.2357,0.5641,0.466,22.3898
28667092,2016-10-10 16:31:15.693,810209517,0x07,true,true,true,false,false,true,1012.56,537.745,1119.62,487.283,0.4364,0.4768,20.2623,0.564,0.467,22.4225
28667139,2016-10-10 16:31:15.727,810209551,0x07,true,true,true,false,false,true,1012.2,553.998,1112.99,490.46,0.4363,0.4778,21.4293,0.5641,0.4672,22.6956
28667170,2016-10-10 16:31:15.760,810209584,0x07,true,true,true,false,false,true,1016.26,480.922,1105.9,493.144,0.4357,0.4781,21.2279,0.5636,0.4677,24.7632
28667201,2016-10-10 16:31:15.793,810209617,0x07,true,true,true,false,false,false,310.049,595.595,951.671,575.229,0.4307,0.4798,35.866,0.5628,0.4678,25.2556
28667232,2016-10-10 16:31:15.827,810209651,0x07,true,true,true,false,false,false,951.811,578.197,951.713,576.023,0,0,0,0.5621,0.467,24.9699
28667263,2016-10-10 16:31:15.860,810209684,0x07,true,true,true,false,false,false,1003.16,636.142,955.522,580.59,0,0,0,0.5622,0.4668,24.6676
28667295,2016-10-10 16:31:15.893,810209717,0x07,true,true,true,false,false,false,945.118,564.442,956.218,581.328,0,0,0,0.5626,0.4665,24.8093
28667341,2016-10-10 16:31:15.927,810209751,0x07,true,true,true,false,false,false,993.147,571.966,957.641,581.442,0,0,0,0.5638,0.4666,24.5812
28667373,2016-10-10 16:31:15.960,810209784,0x07,true,true,true,false,false,false,981.963,655.306,958.973,583.154,0,0,0,0.5649,0.4669,25.1033
